node_id,name,degree,degree_centrality,closeness,betweenness,pagerank
Rom_the_Space_Knight,Rom the Space Knight,15,0.05434782608695652,0.4150375939849624,0.010059905505742742,0.003626199802052276
Hellion_(character),Hellion (character),12,0.043478260869565216,0.4188163884673748,0.009333163221761833,0.0015130861574368204
Eddie_Brock,Eddie Brock,22,0.07971014492753624,0.43670886075949367,0.009292254154006495,0.0031459469837735793
Storm_(Marvel_Comics),Storm (Marvel Comics),27,0.09782608695652174,0.45394736842105265,0.009130319124596192,0.009278390997254492
Noh-Varr,Noh-Varr,18,0.06521739130434782,0.45024469820554647,0.008870432324370608,0.002353332245982068
Werewolf_by_Night,Werewolf by Night,15,0.05434782608695652,0.43328100470957615,0.00867480725683697,0.0039439538018920745
Solo_(Marvel_Comics),Solo (Marvel Comics),13,0.04710144927536232,0.41818181818181815,0.008448384960589231,0.0007733059856300339
Guardsman_(character),Guardsman (character),8,0.028985507246376812,0.3719676549865229,0.008399531107300958,0.0015125587320331587
Blade_(character),Blade (character),22,0.07971014492753624,0.44516129032258067,0.008387440004701305,0.008540617611382166
Star-Lord,Star-Lord,17,0.06159420289855073,0.4423076923076923,0.00828251891492216,0.00550767052459589
Quicksilver_(Marvel_Comics),Quicksilver (Marvel Comics),15,0.05434782608695652,0.3954154727793696,0.008263748884163263,0.005588674974260044
Man-Thing,Man-Thing,20,0.07246376811594203,0.43879173290937995,0.008206729903904803,0.005839739364171919
Rocket_Raccoon,Rocket Raccoon,16,0.057971014492753624,0.4339622641509434,0.008134042801912685,0.004791657686016458
Genis-Vell,Genis-Vell,8,0.028985507246376812,0.34892541087231355,0.007777682979737589,0.00349449634033207
Nightmask,Nightmask,5,0.018115942028985508,0.32242990654205606,0.007656023014765652,0.0019995808486485632
Turbo_(comics),Turbo (comics),5,0.018115942028985508,0.32857142857142857,0.007513454854109664,0.002735973526355806
Spider-Woman_(Jessica_Drew),Spider-Woman (Jessica Drew),22,0.07971014492753624,0.43260188087774293,0.007340907497792916,0.007078716823000467
Captain_Marvel_(Marvel_Comics),Captain Marvel (Marvel Comics),17,0.06159420289855073,0.4052863436123348,0.00732259932502273,0.00850167305391955
Franklin_Richards_(character),Franklin Richards (character),14,0.050724637681159424,0.38928067700987307,0.0073055022617779354,0.006165832457144305
