node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Battlestar_(character),276,1.0,1,0,0.0,Battlestar (character),3,0.00010795569861868617,0.33053892215568864,0.0010491756950833098,0.00041691183331944546,0.0012255749139180871,-0.25209077894148935,217,25
Beta_Ray_Bill,276,1.0,1,0,0.0,Beta Ray Bill,7,0.0026567555842322353,0.416289592760181,0.0008493718746309265,0.0016319055978076188,0.0016624228354189575,0.616479733428552,106,26
Betsy_Braddock,276,1.0,1,0,0.0,Betsy Braddock,28,0.011845985097113357,0.4623115577889447,0.0044481460002437105,0.02096414512315187,0.004829582003887767,-1.8879811997598308,36,27
Bill_Foster_(character),276,1.0,1,0,0.0,Bill Foster (character),17,0.006163821532951749,0.4444444444444444,0.004954115731926111,0.007848629059597408,0.0031488979205108814,-0.5350467271966421,63,28
Black_Bolt,276,1.0,1,0,0.0,Black Bolt,18,0.016169937158098096,0.4423076923076923,0.006299837394908441,0.009824486350600787,0.004011201035915275,1.5819328801228747,24,29
Black_Cat_(Marvel_Comics),276,1.0,1,0,0.0,Black Cat (Marvel Comics),28,0.007148938280803568,0.45024469820554647,0.017605551735771423,0.02021873129867193,0.004857623626884782,-2.690573420619268,60,30
Black_Jack_Tarr,276,1.0,1,0,0.0,Black Jack Tarr,1,0.0,0.30734966592427615,0.0010190637572338218,0.0,0.0,0.0,243,31
Black_Knight_(Marvel_Comics),276,1.0,1,0,0.0,Black Knight (Marvel Comics),7,0.0025373812044095093,0.375,0.003480608231754747,0.0015794496458288996,0.0015151752905122147,0.6322249079555506,108,32
Black_Marvel,276,1.0,1,0,0.0,Black Marvel,6,0.0012677244619914987,0.3865546218487395,0.001904779672736992,0.0009756045985707801,0.001036523892048891,0.28182646407048745,144,33
Black_Panther_(character),276,1.0,1,0,0.0,Black Panther (character),31,0.020627146238301714,0.4495114006514658,0.010490186542700512,0.024586079521881844,0.0048877835382904146,-0.8099649365742644,19,34
Black_Rider_(character),276,1.0,1,0,0.0,Black Rider (character),4,0.0006009171862949991,0.3493670886075949,0.0008457632538550275,0.0006413438673216561,0.0013642069731768334,-0.02963383256465489,165,35
Blackwulf,276,1.0,1,0,0.0,Blackwulf,2,4.7947829420270265e-05,0.32662721893491126,0.0005300214031699635,0.00013556287906703898,0.0007271370326731172,-0.12049317488985031,231,36
Blade_(character),276,1.0,1,0,0.0,Blade (character),22,0.008387440004701305,0.44516129032258067,0.008540617611382166,0.013185582357802851,0.00383965128619532,-1.2496297177694977,48,37
